handle,name,url,location,timezone,country,language
100reporters,100Reporters,http://100r.org/,Washington,America/New_York,US,en
11alivenews,11Alive News,https://www.11alive.com,Atlanta,America/New_York,US,en
12khari,Baahrakhari,https://baahrakhari.com/,Kathmandu,Asia/Kathmandu,NP,ne
12newsnow,12 News Now,https://www.12newsnow.com/,Beaumont,America/Chicago,US,en
13wmaznews,13WMAZ News,https://www.13wmaz.com,Macon,America/New_York,US,en
14eastmag,14 East,http://fourteeneastmag.com/,Chicago,America/Chicago,US,en
19thnews,19th,https://19thnews.org/,Austin,America/Chicago,US,en
1newsnz,1News,https://www.1news.co.nz/,Auckland,Pacific/Auckland,NZ,en
20minutes,20 Minutes,https://www.20minutes.fr/,Paris,Europe/Paris,FR,fr
3newsnowomaha,KMTV 3 News Now,https://www.3newsnow.com/,Omaha,America/Chicago,US,en
404mediaco,404 Media,https://www.404media.co/,San Francisco,America/Los_Angeles,US,en
41nbc,41NBC / WMGT,https://www.41nbc.com,Macon,America/New_York,US,en
6abc,6abc,https://6abc.com/,Philadelphia,America/New_York,US,en
9news,9NEWS Denver,https://www.9news.com/,Denver,America/Denver,US,en
9to5mac,9to5Mac,https://9to5mac.com/,Cupertino,America/Los_Angeles,US,en
abc,ABC News,https://abcnews.go.com/,New York City,America/New_York,US,en
abc15,ABC15 Arizona,https://www.abc15.com/,Phoenix,America/Phoenix,US,en
abc3340,ABC 33/40 News,https://abc3340.com/,Birmingham,America/Chicago,US,en
abc7,ABC7,https://abc7.com/,Los Angeles,America/Los_Angeles,US,en
abc7breaking,KVIA,https://kvia.com/,El Paso,America/Denver,US,en
abc7newsbayarea,ABC7 News,https://abc7news.com/,San Francisco,America/Los_Angeles,US,en
abc_es,ABC,https://www.abc.es/,Madrid,Europe/Madrid,ES,es
abcnews,ABC News,https://www.abc.net.au/news/,Sydney,Australia/Sydney,AU,en
aberdeennews,Aberdeen News,https://www.aberdeennews.com/,Aberdeen,America/Chicago,US,en
abqbizfirst,Albuquerque Business First,https://www.bizjournals.com/albuquerque/,Albuquerque,America/Denver,US,en
abqjournal,Albuquerque Journal,https://www.abqjournal.com/,Albuquerque,America/Denver,US,en
adndotcom,Anchorage Daily News,https://www.adn.com/,Anchorage,America/Anchorage,US,en
adnkronos,Adnkronos,https://www.adnkronos.com/,Rome,Europe/Berlin,IT,it
aftenposten,Aftenposten,https://www.aftenposten.no/,Oslo,Europe/Oslo,NO,no
aftermath_site,Aftermath,https://aftermath.site/,Albany,America/New_York,US,en
agenciabrasil,Agência Brasil,https://agenciabrasil.ebc.com.br/,Brasília,America/Sao_Paulo,BR,pt
agenciapublica,Agência Pública,https://apublica.org/,Sao Paulo,America/Sao_Paulo,BR,pt
ainonline,Aviation International News,https://www.ainonline.com/,Midland Park,America/New_York,US,en
airlinereporter,Airline Reporter,https://www.airlinereporter.com/,Seattle,America/Los_Angeles,US,en
airwaysmagazine,Airways,https://airwaysmag.com/,Miami,America/New_York,US,en
ajc,Atlanta Journal-Constitution,https://www.ajc.com/,Atlanta,America/New_York,US,en
ajenglish,Al Jazeera English,https://www.aljazeera.com/,Doha,Asia/Qatar,QA,en
aknewsnow,Alaska’s News Source,https://www.alaskasnewssource.com/,Anchorage,America/Anchorage,US,en
akpublicnews,Alaska Public Media,https://alaskapublic.org/,Anchorage,America/Anchorage,US,en
alamogordonews,Alamogordo Daily News,https://www.alamogordonews.com/,Alamogordo,America/Denver,US,en
albany_herald,Albany Herald,https://www.albanyherald.com,Albany,America/New_York,US,en
